word;translation;example_sentence;transition_sentence
abolish; abschaffen; They want to abolish the death penalty; Sie wollen abschaffen die Todesstrafe
abortion; Abtreibung; The debate around abortion is very controversial; Die Debatte um Abtreibung ist sehr kontrovers
absence; Abwesenheit; His absence from work was noticeable; Seine Abwesenheit von Arbeit war bemerkbar
absent; abwesend; She was absent from the meeting; Sie war abwesend von dem Treffen
absorb; aufnehmen; The sponge will absorb the water; Der Schwamm wird aufnehmen das Wasser
abstract; abstrakt; The painting was very abstract; Das Gemälde war sehr abstrakt
absurd; absurd; His behaviour was absurd; Sein Verhalten war absurd
abundance; Fülle; There was an abundance of food at the party; Es gab eine Fülle von Essen bei der Party
abuse; Missbrauch; He suffered abuse as a child; Er litt Missbrauch als ein Kind
academy; Akademie; She attended the Royal Academy of Music; Sie besuchte die Königliche Akademie von Musik
accelerate; beschleunigen; The car will accelerate quickly; Das Auto wird beschleunigen schnell
accent; Akzent; She has a strong German accent; Sie hat einen starken Deutschen Akzent
acceptance; Akzeptanz; There is a growing acceptance of diversity; Es gibt eine wachsende Akzeptanz von Diversität
accessible; zugänglich; The museum is easily accessible by train; Das Museum ist leicht zugänglich mit Zug
accidentally; versehentlich; I accidentally broke the glass; Ich versehentlich brach das Glas
accommodate; unterbringen; The hotel can accommodate 200 guests; Das Hotel kann unterbringen 200 Gäste
accomplish; erreichen; She managed to accomplish her goal; Sie schaffte zu erreichen ihr Ziel
accomplishment; Leistung; Getting the degree was a big accomplishment; Bekommen den Abschluss war eine große Leistung
accordance; Übereinstimmung; In accordance with the rules, the meeting was cancelled; In Übereinstimmung mit den Regeln, das Treffen war abgesagt
accordingly; demgemäß; The instructions were clear, so we acted accordingly; Die Anweisungen waren klar, so wir handelten demgemäß
accountability; Verantwortlichkeit; The lack of accountability is a big problem; Der Mangel von Verantwortlichkeit ist ein großes Problem
accountable; verantwortlich; He is accountable for his actions; Er ist verantwortlich für seine Taten
accountant; Buchhalter; She is a qualified accountant; Sie ist eine qualifizierte Buchhalter
accounting; Buchhaltung; She is responsible for the company’s accounting; Sie ist verantwortlich für die Firma’s Buchhaltung
accumulate; ansammeln; The snow will accumulate if it keeps falling; Der Schnee wird ansammeln wenn es weiter fällt
accumulation; Ansammlung; There was a large accumulation of leaves; Es war eine große Ansammlung von Blättern
accuracy; Genauigkeit; The accuracy of the data is essential; Die Genauigkeit von den Daten ist wesentlich
accurately; genau; He measured the distance accurately; Er maß die Distanz genau
accusation; Anschuldigung; She denied the accusation; Sie leugnete die Anschuldigung
accused; Angeklagte/r; The accused appeared in court today; Die Angeklagte/r erschien vor Gericht heute
acid; Säure; Lemon juice is a strong acid; Zitronensaft ist eine starke Säure
acquisition; Erwerb; The acquisition of the company was very expensive; Der Erwerb von der Firma war sehr teuer
acre; Hektar; The farm covers 100 acres; Der Bauernhof bedeckt 100 Hektar
activate; aktivieren; Press the button to activate the device; Drücke den Knopf um zu aktivieren das Gerät
activation; Aktivierung; The activation of the alarm triggered the fire alarm; Die Aktivierung von dem Alarm löste aus den Feueralarm
activist; Aktivist/in; She is a passionate environmental activist; Sie ist eine leidenschaftliche Umwelt Aktivist/in
acute; akut; She has an acute pain in her back; Sie hat einen akuten Schmerz in ihrem Rücken
adaptation; Anpassung; This film is an adaptation of the book; Dieser Film ist eine Anpassung von dem Buch
addiction; Sucht; He is struggling with a drug addiction; Er kämpft mit einer Drogen Sucht
additionally; zusätzlich; Additionally, we need more information; Zusätzlich, wir brauchen mehr Informationen
adequate; ausreichend; The food was adequate for the journey; Das Essen war ausreichend für die Reise
adequately; ausreichend; They were not adequately prepared; Sie waren nicht ausreichend vorbereitet
adhere; haften; The sticker will not adhere to the wet surface; Der Aufkleber wird nicht haften auf die nasse Oberfläche
adjacent; angrenzend; The two houses are adjacent to each other; Die zwei Häuser sind angrenzend an einander
adjust; anpassen; You may need to adjust the volume; Du musst vielleicht anpassen die Lautstärke
adjustment; Anpassung; It will take time for an adjustment to the new schedule; Es wird Zeit brauchen für eine Anpassung an den neuen Zeitplan
administer; verwalten; They are responsible for administering the healthcare system; Sie sind verantwortlich für Verwalten das Gesundheitssystem
administrative; administrativ; They have an administrative role in the company; Sie haben eine administrative Rolle in der Firma
administrator; Verwalter/in; He is the hospital administrator; Er ist der Krankenhaus Verwalter/in
admission; Zulassung; He got an admission to university; Er bekam eine Zulassung zur Universität
adolescent; Jugendliche/r; The book is aimed at adolescents; Das Buch ist gerichtet an Jugendliche
adoption; Adoption; They are looking into the option of adoption; Sie schauen in die Option von Adoption
adverse; nachteilig; The medicine can have adverse side effects; Das Medikament kann haben nachteilige Nebeneffekte
advocate; befürworten; She is a passionate advocate for animal rights; Sie ist eine leidenschaftliche Befürworterin für Tier Rechte
aesthetic; ästhetisch; The building was very aesthetic; Das Gebäude war sehr ästhetisch
affection; Zuneigung; She showed a lot of affection towards him; Sie zeigte eine Menge von Zuneigung zu ihm
affordable; erschwinglich; The housing is not affordable for everyone; Das Wohnen ist nicht erschwinglich für jeden
aftermath; Nachwirkungen; The aftermath of the storm was devastating; Die Nachwirkungen von dem Sturm war verheerend
aggression; Aggression; There was a lot of aggression in his voice; Es war eine Menge von Aggression in seiner Stimme
agricultural; landwirtschaftlich; The area is mostly agricultural; Die Gegend ist meistens landwirtschaftlich
agriculture; Landwirtschaft; He works in agriculture; Er arbeitet in Landwirtschaft
aide; Helfer/in; He is an aide to the president; Er ist ein Helfer zu dem Präsidenten
aids; Hilfsmittel; These are aids to help children with learning; Diese sind Hilfsmittel um zu helfen Kinder mit Lernen
albeit; obgleich; She is very talented, albeit a bit lazy; Sie ist sehr talentiert, obgleich ein bisschen faul
alert; alarmieren; They need to alert the police; Sie müssen alarmieren die Polizei
alien; fremd; He felt alien in the new country; Er fühlte sich fremd in dem neuen Land
align; ausrichten; You need to align the wheels of the car; Du musst ausrichten die Räder von dem Auto
alignment; Ausrichtung; The alignment of the building was perfect; Die Ausrichtung von dem Gebäude war perfekt
alike; ähnlich; The two cars look very alike; Die zwei Autos sehen sehr ähnlich aus
allegation; Behauptung; They denied the allegation; Sie leugneten die Behauptung
allege; behaupten; They allege that he was involved; Sie behaupten, dass er war beteiligt
allegedly; angeblich; He allegedly committed the crime; Er angeblich beging das Verbrechen
alliance; Bündnis; They formed an alliance; Sie bildeten ein Bündnis
allocate; zuweisen; They need to allocate more funds; Sie müssen zuweisen mehr Gelder
allocation; Zuweisung; The allocation of funds was fair; Die Zuweisung von Geldern war fair
allowance; Zulage; She has a daily allowance for food; Sie hat eine tägliche Zulage für Essen
ally; Verbündete/r; The US is an ally of Germany; Die USA ist ein Verbündete von Deutschland
alongside; neben; He was standing alongside his father; Er stand neben seinem Vater
altogether; insgesamt; There were 10 people altogether; Es waren 10 Leute insgesamt
aluminium; Aluminium; The cans are made of aluminium; Die Dosen sind gemacht aus Aluminium
amateur; Amateur; He is just an amateur; Er ist nur ein Amateur
ambassador; Botschafter/in; She is the British ambassador to France; Sie ist die Britische Botschafterin zu Frankreich
ambulance; Krankenwagen; Call an ambulance; Ruf einen Krankenwagen
amend; ändern; They are planning to amend the law; Sie planen zu ändern das Gesetz
amendment; Änderung; They made an amendment to the contract; Sie machten eine Änderung zu dem Vertrag
